ProbenID,cortison_conc,hydrocortison_conc,tierart,matrix,datum,methode
E32FDE2,NA,2,Schwein,Leber,2019-07-01,EtAc
E32FDF2,NA,1,Schwein,Leber,2019-07-01,EtAc
E330DDE,0.9,0.7,Schwein,Leber,2019-07-04,EtAc
E330DEE,NA,3,Schwein,Leber,2019-06-25,EtAc
E330DFE,NA,1,Schwein,Leber,2019-06-18,EtAc
E330E22,NA,1,Schwein,Leber,2019-06-18,EtAc
E330E32,NA,2,Schwein,Leber,2019-06-25,EtAc
E330E40,NA,0.4,Schwein,Leber,2019-07-04,EtAc
E330E50,NA,2,Schwein,Leber,2019-06-19,EtAc
E330E60,NA,NA,Schwein,Leber,2019-07-04,EtAc
E330E84,NA,NA,Schwein,Leber,2019-06-26,EtAc
E330E94,NA,1,Schwein,Leber,2019-06-18,EtAc
E330EA4,NA,2,Schwein,Leber,2019-06-25,EtAc
E331AC0,NA,1,Rind,Blut,2019-07-11,EtAc
E331AD0,NA,NA,Rind,Blut,2019-07-11,EtAc
E331AE0,NA,NA,Rind,Blut,2019-07-11,EtAc
E331B04,NA,NA,Rind,Blut,2019-07-11,EtAc
E331B14,NA,NA,Rind,Blut,2019-07-11,EtAc
E331C4C,3,25,Kuh,Blut,2019-07-15,EtAc
E331C5C,3,15,Rind,Blut,2019-07-15,EtAc
E331C80,2,13,Rind,Blut,2019-07-15,EtAc
E331C90,3,23,Kuh,Blut,2019-07-15,EtAc
E331CA0,1,2,Kuh,Blut,2019-07-12,EtAc
E331CB0,NA,2,Kuh,Blut,2019-07-12,EtAc
E331CC0,1,3,Kuh,Blut,2019-07-12,EtAc
E331CE4,NA,2,Kuh,Blut,2019-07-12,EtAc
E331ED2,1,13,Kuh,Blut,2019-07-16,EtAc
E331EE2,1,4,Kalb,Blut,2019-07-16,EtAc
E3324A0,NA,2,Rind,Blut,2019-07-18,EtAc
E3324B0,NA,2,Rind,Blut,2019-07-18,EtAc
E3324C0,NA,2,Rind,Blut,2019-07-18,EtAc
E3324D0,NA,4,Rind,Blut,2019-07-18,EtAc
E3324F2,1,17,Rind,Blut,2019-07-18,EtAc
E332EBE,NA,NA,Schwein,Leber,2019-07-09,EtAc
E332ECE,NA,NA,Schwein,Leber,2019-07-09,EtAc
E332EF2,NA,NA,Schwein,Leber,2019-07-09,EtAc
E3335D4,13,19,Rind,Harn,2019-07-30,EtAc
E3335F8,17,NA,Kalb,Harn,2019-07-30,EtAc
E333608,43,36,Kalb,Harn,2019-07-30,EtAc
E335B26,NA,NA,Rind,Blut,2019-08-21,EtAc
E335B36,NA,4,Rind,Blut,2019-08-21,EtAc
E336F22,NA,4,Kuh,Blut,2019-08-27,EtAc
E336F32,NA,NA,Kuh,Blut,2019-08-27,EtAc
E336F42,NA,6,Kuh,Blut,2019-08-27,EtAc
E336F66,1,4,Kuh,Blut,2019-08-28,EtAc
E336F76,NA,NA,Kuh,Blut,2019-08-28,EtAc
E3375A6,NA,4,Kuh,Blut,2019-09-02,EtAc
E3375B6,NA,NA,Kalb,Blut,2019-09-02,EtAc
E3375C6,5,19,Kalb,Blut,2019-09-02,EtAc
E3375D6,NA,NA,Kuh,Blut,2019-09-02,EtAc
E3375E6,4,16,Kuh,Blut,2019-09-02,EtAc
E33760A,NA,NA,Kalb,Blut,2019-09-02,EtAc
E33761A,3,18,Rind,Blut,2019-09-02,EtAc
E337E58,NA,3,Rind,Harn,2019-09-02,EtAc
E337E68,NA,NA,Kalb,Harn,2019-09-02,EtAc
E337E8C,NA,NA,Kalb,Harn,2019-09-02,EtAc
E337E9C,NA,8,Rind,Harn,2019-09-02,EtAc
E337EAC,NA,3,Rind,Harn,2019-09-03,EtAc
E337EBA,NA,5,Kuh,Harn,2019-09-02,EtAc
E337EDE,NA,3,Kuh,Harn,2019-09-02,EtAc
E337EEE,NA,3,Kalb,Harn,2019-09-02,EtAc
E337EFE,NA,4,Kuh,Harn,2019-09-02,EtAc
E337F0E,NA,NA,Kalb,Harn,2019-09-02,EtAc
E337F1E,15,24,Rind,Harn,2019-09-02,EtAc
E337F42,NA,3,Rind,Harn,2019-09-02,EtAc
E337F52,NA,6,Kuh,Harn,2019-09-02,EtAc
E337F62,NA,NA,Kalb,Harn,2019-09-02,EtAc
E337F72,27,54,Rind,Harn,2019-09-03,EtAc
E337F90,NA,5,Rind,Harn,2019-09-03,EtAc
E337FA0,NA,3,Rind,Harn,2019-09-03,EtAc
E337FB0,NA,7,Kalb,Harn,2019-09-02,EtAc
E337FC0,NA,15,Kuh,Harn,2019-09-02,EtAc
E337FD0,NA,NA,Kalb,Harn,2019-09-02,EtAc
E339A92,NA,NA,Kalb,Harn,2019-09-16,EtAc
E339AA2,6,NA,Kalb,Harn,2019-09-16,EtAc
E339AB2,NA,NA,Kalb,Harn,2019-09-16,EtAc
E339AD6,4,NA,Kalb,Harn,2019-09-16,EtAc
E339AE4,NA,NA,Kalb,Harn,2019-09-16,EtAc
E339AF4,NA,NA,Rind,Harn,2019-09-16,EtAc
E339B04,4,NA,Rind,Harn,2019-09-16,EtAc
E339B14,7,NA,Kuh,Harn,2019-09-16,EtAc
E339B38,NA,NA,Rind,Harn,2019-09-16,EtAc
E339B48,5,NA,Rind,Harn,2019-09-16,EtAc
E339B58,10,13,Rind,Harn,2019-09-16,EtAc
E339B68,NA,NA,Kuh,Harn,2019-09-16,EtAc
E339B78,7,NA,Kuh,Harn,2019-09-16,EtAc
E339B9C,NA,11,Kuh,Harn,2019-09-16,EtAc
E339BAA,NA,11,Kuh,Harn,2019-09-16,EtAc
E339BBA,20,35,Rind,Harn,2019-09-16,EtAc
E339BCA,18,28,Rind,Harn,2019-09-16,EtAc
E339BEE,21,35,Rind,Harn,2019-09-16,EtAc
E339BFE,NA,NA,Rind,Harn,2019-09-16,EtAc
E339C0E,31,77,Kuh,Harn,2019-09-16,EtAc
E339C1E,10,NA,Rind,Harn,2019-09-16,EtAc
E33BE02,1,2,Zuchtwild,Leber,2019-10-03,EtAc
E33CC36,NA,11,Rind,Blut,2019-10-10,EtAc
E33CC46,NA,3,Rind,Blut,2019-10-10,EtAc
E33CC56,2,24,Rind,Blut,2019-10-10,EtAc
E33CC66,NA,3,Rind,Blut,2019-10-10,EtAc
E33CC76,1,6,Rind,Blut,2019-10-10,EtAc
E33CC9A,NA,8,Rind,Blut,2019-10-10,EtAc
E33D92A,48,63,Rind,Harn,2019-10-16,EtAc
E33D93A,NA,NA,Rind,Harn,2019-10-16,EtAc
E33D94A,NA,13,Rind,Harn,2019-10-16,EtAc
E33D958,65,66,Kuh,Harn,2019-10-16,EtAc
E33D97C,160,288,Kuh,Harn,2019-10-16,EtAc
E33D98C,27,35,Rind,Harn,2019-10-16,EtAc
E33D99C,3,10,Rind,Harn,2019-10-16,EtAc
E33D9AC,24,31,Rind,Harn,2019-10-16,EtAc
E33D9BC,NA,11,Kuh,Harn,2019-10-16,EtAc
E33D9E0,16,24,Rind,Harn,2019-10-16,EtAc
E33D9F0,43,91,Rind,Harn,2019-10-16,EtAc
E33DA00,63,130,Rind,Harn,2019-10-16,EtAc
E33DA10,10,17,Kuh,Harn,2019-10-16,EtAc
E33DA32,5,NA,Kuh,Harn,2019-10-16,EtAc
E33DA42,56,78,Kuh,Harn,2019-10-16,EtAc
E33DA52,22,53,Kuh,Harn,2019-10-16,EtAc
E33DA62,9,18,Rind,Harn,2019-10-16,EtAc
E33DA72,12,22,Rind,Harn,2019-10-16,EtAc
E33DA96,44,78,Rind,Harn,2019-10-16,EtAc
E33DAA6,7,15,Rind,Harn,2019-10-16,EtAc
E33DAB6,27,54,Rind,Harn,2019-10-16,EtAc
E33DDEC,1,3,Kalb,Blut,2019-10-15,EtAc
E33DDFC,1,3,Kalb,Blut,2019-10-14,EtAc
E33DE0A,2,11,Kuh,Blut,2019-10-16,EtAc
E33DE2E,NA,2,Kalb,Blut,2019-10-14,EtAc
E33DE3E,1,9,Kalb,Blut,2019-10-15,EtAc
E33DE4E,NA,2,Rind,Blut,2019-10-15,EtAc
E33DE5E,2,11,Kalb,Blut,2019-10-15,EtAc
E33DE6E,1,11,Kuh,Blut,2019-10-14,EtAc
E33DF24,2,9,Kuh,Blut,2019-10-17,EtAc
E33DF34,1,11,Kuh,Blut,2019-10-17,EtAc
E33E45E,4,42,Kuh,Blut,2019-10-10,EtAc
E33E482,2,9,Kuh,Blut,2019-10-04,EtAc
E33E492,3,4,Kalb,Blut,2019-10-04,EtAc
E33E4A2,NA,2,Rind,Blut,2019-10-10,EtAc
E33E4B2,1,12,Kuh,Blut,2019-10-03,EtAc
E33E4C2,NA,NA,Kalb,Blut,2019-10-10,EtAc
E33E4E6,NA,3,Kuh,Blut,2019-10-10,EtAc
E33E4F6,2,12,Rind,Blut,2019-10-18,EtAc
E33E506,NA,1,Kalb,Blut,2019-10-03,EtAc
E33E510,3,12,Kuh,Blut,2019-10-19,EtAc
E33E534,NA,NA,Kalb,Blut,2019-10-19,EtAc
E340330,4,35,Kuh,Blut,2019-11-04,EtAc
E340340,2,5,Rind,Blut,2019-11-04,EtAc
E340350,5,21,Kuh,Blut,2019-11-04,EtAc
E340360,4,18,Rind,Blut,2019-11-04,EtAc
E340FB0,4,20,Rind,Blut,2019-11-07,EtAc
E340FC0,7,16,Rind,Blut,2019-10-31,EtAc
E340FD0,4,41,Kalb,Blut,2019-11-05,EtAc
E340FE0,7,36,Rind,Blut,2019-11-07,EtAc
E341004,11,32,Rind,Blut,2019-10-31,EtAc
E341032,7,23,Kuh,Blut,2019-11-11,EtAc
E341056,6,37,Rind,Blut,2019-11-11,EtAc
E341066,5,19,Kuh,Blut,2019-11-11,EtAc
