ProbenID;ProbeWare;ProbeErhebungsdatum;ResultatAnalytnummer;ResultatAnalytName;ResultatMethodencode;ResultatEinheit;ResultatMessunsicherheit;ResultatWiederfindung;ResultatWiederfindungskorrigiert;ResultatTpAufarbeitungName;ResultatResultat
E330E60;Schwein - Leber;04.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;<0.25
E330E84;Schwein - Leber;26.06.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;<0.25
E330E50;Schwein - Leber;19.06.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;2
E330EA4;Schwein - Leber;25.06.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;2
E330E94;Schwein - Leber;18.06.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;1
E32FDE2;Schwein - Leber;01.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;2
E330DDE;Schwein - Leber;04.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;0.7
E32FDF2;Schwein - Leber;01.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;1
E330DFE;Schwein - Leber;18.06.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;1
E330DEE;Schwein - Leber;25.06.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;3
E330E22;Schwein - Leber;18.06.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;1
E330E40;Schwein - Leber;04.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;0.4
E330E32;Schwein - Leber;25.06.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;2
E331AD0;Rind - Blut;11.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<1
E331AC0;Rind - Blut;11.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;70 %;Nein;flüssige Proben;1
E331B04;Rind - Blut;11.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<1
E331AE0;Rind - Blut;11.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<1
E331B14;Rind - Blut;11.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<1
E331C5C;Rind -Blut;15.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;15
E331C4C;Kuh -Blut;15.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;25
E331C80;Rind -Blut;15.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;13
E331CA0;Kuh - Blut;12.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;2
E331C90;Kuh -Blut;15.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;23
E331CC0;Kuh - Blut;12.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;3
E331CB0;Kuh - Blut;12.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;2
E331ED2;Kuh - Blut;16.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;13
E331EE2;Kalb - Blut;16.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;4
E331CE4;Kuh - Blut;12.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;2
E3324B0;Rind - Blut;18.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;2
E3324A0;Rind - Blut;18.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;2
E3324D0;Rind - Blut;18.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;4
E3324C0;Rind - Blut;18.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;2
E3324F2;Rind - Blut;18.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;17
E3335F8;Kalb - Harn;30.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<10
E3335D4;Rind - Harn;30.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;76 %;Nein;flüssige Proben;19
E332EBE;Schwein - Leber;09.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;<0.25
E333608;Kalb - Harn;30.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;76 %;Nein;flüssige Proben;36
E332EF2;Schwein - Leber;09.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;<0.25
E332ECE;Schwein - Leber;09.07.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;feste Proben;<0.25
E335B36;Rind - Blut;21.08.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;30 %;Nein;flüssige Proben;4
E336F22;Kuh - Blut;27.08.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;30 %;Nein;flüssige Proben;4
E335B26;Rind - Blut;21.08.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<2.5
E336F42;Kuh - Blut;27.08.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;30 %;Nein;flüssige Proben;6
E336F32;Kuh - Blut;27.08.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<2.5
E336F76;Kuh - Blut;28.08.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<2.5
E336F66;Kuh - Blut;28.08.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;30 %;Nein;flüssige Proben;4
E3375C6;Kalb - Blut;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;30 %;Nein;flüssige Proben;19
E3375A6;Kuh - Blut;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;30 %;Nein;flüssige Proben;4
E3375B6;Kalb - Blut;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<2.5
E3375E6;Kuh - Blut;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;30 %;Nein;flüssige Proben;16
E3375D6;Kuh - Blut;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<2.5
E33761A;Rind - Blut;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;30 %;Nein;flüssige Proben;18
E33760A;Kalb - Blut;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<2.5
E337E68;Kalb - Harn;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;NB;Nein;flüssige Proben;<2.5
E337E58;Rind - Harn;02.09.2019;20745;Hydrocortison;Z4044;µg/kg;±35 %;71 %;Nein;flüssige Proben;3
